"","name","year","Duration","rating","synopsis","Genre"
"1","Halloween Kills","(2021)","105 min","5.5","
Surviving victims of Michael Myers form a vigilante mob and vow to end his reign of terror after they discover that he is still alive.","
Horror, Thriller            "
"2","The Black Phone","(2021)","103 min","7.0","
After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.","
Horror, Thriller            "
"3","Spider-Man: No Way Home","(2021)","148 min","8.3","
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","
Action, Adventure, Fantasy            "
"4","Dune: Part One","(2021)","155 min","8.0","
A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.","
Action, Adventure, Drama            "
"5","Sing 2","(2021)","110 min","7.4","
Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.","
Animation, Adventure, Comedy            "
"6","No Time to Die","(2021)","163 min","7.3","
James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","
Action, Adventure, Thriller            "
"7","Licorice Pizza","(2021)","133 min","7.2","
The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.","
Comedy, Drama, Romance            "
"8","Ghostbusters: Afterlife","(2021)","124 min","7.1","
When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","
Adventure, Comedy, Fantasy            "
"9","Pleasure","(2021)","109 min","6.4","
Bella Cherry arrives in Los Angeles with dreams of becoming an adult film star, but she soon learns that fame won't come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world.","
Drama            "
"10","Last Night in Soho","(2021)","116 min","7.1","
An aspiring fashion designer is mysteriously able to enter the 1960s, where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.","
Drama, Horror, Mystery            "
"11","House of Gucci","(2021)","158 min","6.6","
When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.","
Biography, Crime, Drama            "
"12","Old","(2021)","108 min","5.8","
A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","
Drama, Horror, Mystery            "
"13","Encanto","(2021)","102 min","7.2","
A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.","
Animation, Comedy, Family            "
"14","Free Guy","(2021)","115 min","7.1","
A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","
Action, Adventure, Comedy            "
"15","Antlers","(2021)","99 min","5.9","
In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature.","
Drama, Horror, Mystery            "
"16","Eternals","(2021)","156 min","6.3","
The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","
Action, Adventure, Fantasy            "
"17","Don't Look Up","(2021)","138 min","7.2","
Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.","
Comedy, Drama, Sci-Fi            "
"18","The Matrix Resurrections","(2021)","148 min","5.7","
Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.","
Action, Sci-Fi            "
"19","The Suicide Squad","(2021)","132 min","7.2","
Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","
Action, Adventure, Comedy            "
"20","Malignant","(I) (2021)","111 min","6.2","
Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.","
Crime, Horror, Mystery            "
"21","Nobody","(I) (2021)","92 min","7.4","
A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.","
Action, Crime, Drama            "
"22","Chhello Show","(2021)","110 min","7.8","
Samay fights heaven and earth to find light. He wants to catch, control, cut and project that light to tell stories. Now to pursue that dream he must leave everything he loves and take a flight to find the light.","
Drama            "
"23","Nightmare Alley","(2021)","150 min","7.0","
A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychiatrist bent on exposing him.","
Crime, Drama, Thriller            "
"24","The King's Man","(2021)","131 min","6.3","
In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.","
Action, Adventure, Thriller            "
"25","CODA","(2021)","111 min","8.0","
As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.","
Comedy, Drama, Music            "
"26","Verdens verste menneske","(2021)","128 min","7.8","
The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.","
Comedy, Drama, Romance            "
"27","The Good House","(2021)","104 min","6.7","
Life for New England realtor Hildy Good begins to unravel when she hooks up with an old flame of hers from New York. Based on Ann Leary's 'The Good House.'","
Comedy, Drama            "
"28","The Last Duel","(2021)","152 min","7.4","
King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.","
Action, Drama, History            "
"29","Wrath of Man","(2021)","119 min","7.1","
The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.","
Action, Crime, Thriller            "
"30","The Little Things","(2021)","128 min","6.3","
Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.","
Crime, Drama, Mystery            "
"31","The Voyeurs","(2021)","116 min","6.0","
Pippa and Thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite, this will set in motion a chain of events that will lead to disaster.","
Drama, Mystery, Thriller            "
"32","Belfast","(2021)","98 min","7.3","
A young boy and his working-class Belfast family experience the tumultuous late 1960s.","
Biography, Drama            "
"33","Black Widow","(2021)","134 min","6.7","
Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.","
Action, Adventure, Sci-Fi            "
"34","Iké Boys","(2021)","88 min","6.2","
When a magical anime transforms two Japan-obsessed teenage friends and a shy foreign exchange student into its superpowered characters, the three underdogs must discover their inner heroes in time to save the world.","
Action, Adventure, Fantasy            "
"35","The French Dispatch","(2021)","107 min","7.2","
A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","
Comedy, Drama, Romance            "
"36","Zack Snyder's Justice League","(2021)","242 min","8.0","
Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.","
Action, Adventure, Fantasy            "
"37","Fear Street: 1994","(2021)","107 min","6.2","
A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.","
Drama, Horror, Mystery            "
"38","Cruella","(2021)","134 min","7.3","
A live-action prequel feature film following a young Cruella de Vil.","
Adventure, Comedy, Crime            "
"39","Candyman","(2021)","91 min","5.9","
A sequel to the horror film Candyman (1992) that returns to the now-gentrified Chicago neighborhood where the legend began.","
Horror, Thriller            "
"40","Red Notice","(2021)","118 min","6.3","
An Interpol agent successfully tracks down the world's most wanted art thief, with help from a rival thief. But nothing is as it seems, as a series of double-crosses ensue.","
Action, Comedy, Thriller            "
"41","Shang-Chi and the Legend of the Ten Rings","(2021)","132 min","7.4","
Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","
Action, Adventure, Fantasy            "
"42","De uskyldige","(2021)","117 min","7.0","
During the bright Nordic summer, a group of children reveal their dark and mysterious powers when the adults aren't looking. In this original and gripping supernatural thriller, playtime takes a dangerous turn.","
Drama, Fantasy, Horror            "
"43","Boiling Point","(I) (2021)","92 min","7.5","
Enter the relentless pressure of a restaurant kitchen as a head chef wrangles his team on the busiest day of the year.","
Drama, Thriller            "
"44","F9","(2021)","143 min","5.2","
Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.","
Action, Crime, Thriller            "
"45","Operation Mincemeat","(2021)","128 min","6.6","
During WWII, two intelligence officers use a corpse and false papers to outwit German troops.","
Drama, War            "
"46","Dýrið","(2021)","106 min","6.3","
A childless couple discovers a mysterious newborn on their farm in Iceland.","
Drama, Fantasy, Horror            "
"47","Spencer","(2021)","117 min","6.6","
Diana Spencer, struggling with mental-health problems during her Christmas holidays with the Royal Family at their Sandringham estate in Norfolk, England, decides to end her decade-long marriage to Prince Charles.","
Biography, Drama            "
"48","West Side Story","(2021)","156 min","7.2","
An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.","
Crime, Drama, Musical            "
"49","King Richard","(2021)","144 min","7.5","
A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.","
Biography, Drama, Sport            "
"50","Mortal Kombat","(2021)","110 min","6.1","
MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.","
Action, Adventure, Fantasy            "
